date,location,time,type,latitude,longitude
2024-06-11,Lahti,11:19:47,Palohälytys,60.980380564,25.654987962
2024-06-11,Lohja,11:13:39,Tieliikenneonnettomuus,60.250916253,24.065782053
2024-06-11,Joensuu,11:10:40,Öljy- tai ympäristöonnettomuus maalla,62.602079226,29.759679275
2024-06-11,Aura,11:08:36,Öljy- tai ympäristöonnettomuus maalla,60.646591846,22.588991955
2024-06-11,Muurame,11:05:47,Vahingontorjunta,62.13050888,25.67356508
2024-06-11,Sulkava,10:56:20,Eläimen pelastaminen,61.789726328,28.378042315
2024-06-11,Sonkajärvi,07:47:00,Liikennetiedote onnettomuudesta. Tilanne ohi.,63.669163025,27.523742906
2024-06-11,Turku,10:44:57,Ihmisen pelastaminen,60.451690351,22.266866666
2024-06-11,Kuopio,10:36:53,Palohälytys,62.892982923,27.688934744
2024-06-11,Forssa,07:34:00,Ensitiedote liikenneonnettomuudesta.,60.814791352,23.6164073
2024-06-11,Kuopio,10:32:03,Vahingontorjunta,62.892982923,27.688934744
2024-06-11,Forssa,10:31:59,Tieliikenneonnettomuus,60.814791352,23.6164073
2024-06-11,Vantaa,10:30:54,Öljy- tai ympäristöonnettomuus maalla,60.298133721,25.006641332
2024-06-11,Sonkajärvi,10:28:16,Tieliikenneonnettomuus,63.669163025,27.523742906
2024-06-11,Sonkajärvi,10:28:16,Tieliikenneonnettomuus,63.669163025,27.523742906
2024-06-11,Lempäälä,10:25:52,Liikennevälinepalo,61.312525626,23.755748116
2024-06-11,Akaa,10:20:45,Öljy- tai ympäristöonnettomuus maalla,61.167145977,23.865888764
2024-06-11,Tampere,10:11:26,Rakennuspalo,61.49774257,23.761290078
2024-06-11,Seinäjoki,09:58:53,Palohälytys,62.786662897,22.842279603
2024-06-11,Espoo,09:39:14,Palohälytys,60.206376371,24.656728549
2024-06-11,Tampere,09:37:33,Tulipalo,61.49774257,23.761290078
2024-06-11,Pöytyä,09:36:50,Savuhavainto,60.721369364,22.599537679
2024-06-11,Nurmes,09:15:35,Tulipalo,63.544266312,29.132995571
2024-06-11,Akaa,09:03:40,Öljy- tai ympäristöonnettomuus maalla,61.167145977,23.865888764
2024-06-11,Hämeenlinna,08:41:55,Eläimen pelastaminen,60.996174323,24.464424988
2024-06-11,Kouvola,08:26:31,Palohälytys,60.866825214,26.705598153
2024-06-11,Lapua,08:12:16,Palohälytys,62.970168655,23.007570333
2024-06-11,Mikkeli,08:02:52,Palohälytys,61.687726895,27.273224374
2024-06-11,Espoo,07:58:22,Palohälytys,60.206376371,24.656728549
2024-06-11,Helsinki,07:53:39,Eläimen pelastaminen,60.166640739,24.943536799
